bairro,metragem,quartos,banheiros,vagas,valor_anuncio,valor_mm,valor_m2,rua,cep,setor_censo,nome_do_distrito,situacao_setor,tipo_setor,v001,v002,v003,v004,v005,v006,v007,v008,v009,v010,v011,v012
Planalto Paulista,1000,4,8,6,7000000.0,7.0,7000.0,Avenida Itacira,4061000.0,355030.877000067,SAÚDE,1.0,0.0,164.0,437.0,2.66,2.04,3158.96,22210644.93,5570.65,25770816.97,2096.19,13029851.56,3930.35,17241576.74
Jardim dos Estados,496,4,4,4,3700000.0,3.7,7459.677419354839,Rua Aurelia Perez Alvarez,4642020.0,355030.871000023,SANTO AMARO,1.0,0.0,136.0,425.0,3.13,1.96,7600.44,36778930.17,7890.53,35886906.64,4149.0,26760682.9,6063.92,27502674.9
Jardim Reimberg,125,4,3,2,380000.0,0.38,3040.0,Rua Alba Valdez,4845200.0,355030.83000005,GRAJAÚ,1.0,0.0,142.0,493.0,3.47,3.06,805.13,769188.78,1011.75,757433.42,518.77,426672.78,858.51,414378.88
Mooca,100,3,2,2,540000.0,0.54,5400.0,Rua Tobias Barreto,3176000.0,355030.80800005,BELÉM,1.0,0.0,156.0,468.0,3.0,1.99,2338.05,7826370.15,2447.89,7925839.76,1543.29,4646566.16,1909.04,5050712.69
Santo Amaro,440,4,4,6,1980000.0,1.98,4500.0,Rua Graham Bell,4737030.0,355030.865000169,RAPOSO TAVARES,1.0,0.0,107.0,376.0,3.51,2.31,1026.36,272168.67,1143.96,167733.64,735.67,367088.08,1086.94,159622.46
Cidade Mãe do Céu,145,4,4,2,850000.0,0.85,5862.068965517241,Rua Francisco Paulo,3306050.0,355030.859000013,PENHA,1.0,0.0,222.0,654.0,2.95,2.18,1580.84,4440789.58,1897.01,4730743.23,1284.45,2578384.56,1743.39,2699812.75
Jardim Vergueiro,150,2,2,2,450000.0,0.45,3000.0,Rua Guilherme Valente,5818280.0,355030.846000047,JARDIM SÃO LUÍS,1.0,0.0,305.0,984.0,3.23,2.13,1613.93,33332390.49,1721.15,35369361.97,880.61,12700171.03,1333.63,18640212.36
Jardim Benfica,48,2,1,1,199900.0,0.1999,4164.583333333333,Rua Sagrada Família,8140520.0,355030.834000022,IPIRANGA,1.0,0.0,265.0,702.0,2.65,1.39,1692.15,3484810.47,2029.05,3495083.93,1501.11,3319944.47,1998.54,3426163.27
Vila Alpina,114,3,3,2,585000.0,0.585,5131.578947368421,Rua Tapaji,3207050.0,355030.893000075,VILA PRUDENTE,1.0,0.0,312.0,906.0,2.9,1.55,1040.08,1253314.41,1340.93,1212255.49,840.56,1227374.07,1308.92,1298350.85
Vila Monumento,261,4,4,3,700000.0,0.7,2681.992337164751,Rua Vigário João Álvares,1551040.0,355030.834000071,IPIRANGA,1.0,0.0,341.0,936.0,2.74,2.28,4180.64,14483267.36,4255.52,14423850.98,2417.49,9922368.74,3173.84,10627235.34
Vila Uberabinha,193,3,3,2,2500000.0,2.5,12953.36787564767,Rua Tuim,4514100.0,355030.832000059,MOEMA,1.0,0.0,323.0,706.0,2.19,1.23,6811.97,26988429.92,7097.63,26089773.27,4922.81,24296994.46,6079.49,22971380.32
Jardim Prudência,251,3,5,4,1700000.0,1.7,6772.908366533865,Rua Antônio Pereira Mendes,4648235.0,355030.822000233,CIDADE ADEMAR,1.0,0.0,277.0,778.0,2.81,1.52,9723.22,1781723643.14,14798.53,1374996829.42,6394.31,976628790.68,12736.78,1436259424.69
